#{"t_start": 1650012600.3294065, "env_id": "A1GymEnv-v1"}
r,l,t
-1.240985,70,0.549657
-1.32172,52,0.653415
4.106003,84,0.934715
-1.314145,69,1.078366
-1.90023,80,1.21401
0.130568,43,1.314188
0.452041,37,1.376174
-0.654394,58,1.474581
0.429164,54,1.585363
-0.111675,38,1.648068
-1.197497,68,1.789034
0.511501,47,1.868614
-2.045497,42,1.939466
-0.049423,46,2.042316
-0.542031,39,2.108305
-2.020851,77,2.264936
0.517796,40,2.330904
-0.775859,41,2.399594
-0.285099,34,2.477919
-1.703771,88,2.655082
0.156987,38,2.71916
-0.336137,43,2.816497
-0.718545,28,2.86302
0.209276,69,3.001869
-0.333536,28,3.047501
-0.584964,43,3.118177
-0.696671,36,3.176616
0.324464,49,3.286303
-0.308968,35,3.34502
-0.76199,49,3.428361
-0.607429,51,3.539633
0.479869,63,3.648805
0.538747,49,3.756442
-0.019853,36,3.816355
0.244175,56,3.911952
-0.42796,38,3.998923
-0.506167,38,4.062224
-0.05159,42,4.132249
1.676787,96,4.321476
1.016623,47,4.408139
1.419232,90,4.584816
0.193738,46,4.683668
-1.151969,37,4.746662
-0.154136,30,4.798397
-0.160199,61,4.923625
0.338257,49,5.00807
0.169352,46,5.084915
0.361977,36,5.168249
1.127158,48,5.24867
-0.097704,73,5.373208
1.101801,57,5.496983
-1.040294,47,5.577241
-0.529104,43,5.673443
-3.577492,105,5.846269
-1.036187,52,5.961382
1.392369,73,6.083398
-2.174593,82,6.258836
-0.095814,45,6.346927
1.306016,99,6.544936
-0.593527,81,6.707606
0.625384,46,6.786343
-0.09957,33,6.842686
-1.501259,42,6.935857
-0.439215,39,7.001365
0.036402,27,7.046443
-0.608626,48,7.152207
-1.103467,41,7.219788
-0.467671,42,7.292787
1.888411,58,7.419782
-0.977388,40,7.484668
0.836798,45,7.558402
-2.247613,44,7.655913
0.629569,67,7.764663
-0.524917,27,7.810649
2.266621,184,8.173655
-3.366549,80,8.336169
0.043858,35,8.393916
0.357947,71,8.512231
0.104621,39,8.604239
2.150508,68,8.722332
-1.384575,59,8.842422
-0.596078,47,8.933002
0.094228,39,9.005904
-0.385859,28,9.082936
0.17839,30,9.132421
-0.609051,37,9.193767
0.787247,46,9.269286
0.35628,51,9.377443
-2.355615,78,9.505963
6.154904,128,9.751944
-0.960276,88,9.920096
0.397499,60,10.049807
0.701751,38,10.114485
1.558574,40,10.182808
0.867768,50,10.294402
-0.00398,48,10.373459
-0.861849,36,10.433107
-0.23375,42,10.532015
2.608954,60,10.633516
1.539496,54,10.725551
0.235033,50,10.833935
0.098257,38,10.899749
-2.99319,65,11.033919
-1.833607,63,11.142285
0.825444,35,11.203285
0.481158,41,11.294734
0.947058,61,11.395844
-1.446323,49,11.500698
-0.33309,52,11.589121
1.213543,40,11.657228
0.257487,27,11.723727
0.03343,43,11.79528
1.803687,51,11.880024
-0.066673,44,11.986245
0.008738,63,12.091249
0.049744,29,12.139624
0.034835,30,12.215739
0.348471,72,12.340981
-0.240655,56,12.463563
-1.192858,36,12.524416
-0.027417,37,12.586369
-1.253066,47,12.689264
-1.409631,49,12.772367
1.155493,35,12.831586
-0.096227,46,12.935048
0.363349,34,12.992854
0.965333,58,13.091815
0.987117,66,13.227374
0.755646,33,13.283174
-3.61791,74,13.433954
0.568938,33,13.490964
-0.094407,36,13.552136
-0.254946,39,13.617777
-0.519246,32,13.693891
-0.098798,48,13.77406
1.704533,51,13.875331
0.619055,38,13.963913
-1.3425,45,14.037365
0.086324,31,14.087546
0.177693,54,14.200196
0.50443,50,14.282832
-2.07675,44,14.38176
0.297413,31,14.433521
-0.627372,29,14.483651
0.486909,43,14.556813
0.60135,39,14.648678
-0.551002,41,14.720745
-0.418611,33,14.776538
-1.884253,49,14.887027
-0.029554,25,14.928291
-0.399552,43,14.999023
-0.050094,48,15.10124
0.520091,45,15.177176
-0.377859,52,15.265292
0.140752,66,15.401348
0.635623,49,15.48087
-0.393417,36,15.539384
0.10091,49,15.64522
-1.126773,55,15.737095
0.603479,50,15.845539
-0.790446,42,15.916144
-0.544413,40,15.984671
0.432786,26,16.0293
-0.107985,44,16.127432
-0.946312,45,16.201706
0.909108,52,16.313495
-0.509651,39,16.378644
0.472231,34,16.436222
-0.832098,38,16.501325
3.43992,107,16.707225
0.223652,68,16.847121
-0.825461,38,16.910403
-0.155984,53,17.020278
0.187734,44,17.094224
-0.602604,45,17.170034
0.798903,39,17.262199
-0.08774,36,17.323281
-0.285605,57,17.418278
-1.319901,47,17.520529
1.52738,60,17.629974
0.46489,43,17.702955
-0.741383,44,17.801305
0.438154,44,17.876403
-0.370888,40,17.944029
1.022046,46,18.046231
1.566817,55,18.143068
-0.028509,50,18.254871
-1.119278,53,18.342829
-0.054239,41,18.410329
0.468386,42,18.505717
-0.116625,37,18.568401
0.474592,52,18.655911
0.062326,34,18.737366
-0.10986,32,18.791944
-0.71615,42,18.861903
0.650971,44,18.961975
1.497222,64,19.067707
-0.452874,44,19.141327
0.736971,36,19.230126
0.606802,58,19.327792
0.460392,29,19.376394
0.480968,53,19.490561
1.349384,39,19.556758
0.559512,42,19.627602
0.355064,40,19.72188
0.379285,47,19.797734
0.110093,34,19.853044
-0.857138,86,20.019452
-0.122426,24,20.059516
0.113694,27,20.104347
0.325328,82,20.268812
0.555031,35,20.327457
-0.848047,52,20.439515
0.744375,38,20.505306
1.334423,40,20.574123
0.41224,37,20.66082
-1.040414,59,20.76123
1.809888,80,20.921347
-0.398021,41,20.990072
0.342169,37,21.053724
0.598016,35,21.135558
0.577106,38,21.198201
-0.560362,36,21.256955
1.656852,40,21.357705
1.068632,41,21.428128
-0.496063,34,21.484524
-0.763556,26,21.527722
1.491815,83,21.690299
-0.74394,33,21.746258
0.379556,26,21.790527
0.199457,29,21.862381
-0.262586,30,21.911248
-0.591179,38,21.97344
0.231382,21,22.007846
0.780644,25,22.072208
0.395213,35,22.133597
-1.031976,42,22.209291
0.403853,39,22.287608
-0.174714,44,22.387709
0.387458,35,22.44671
-1.262738,43,22.520633
-0.097439,35,22.607964
-1.240463,32,22.661431
1.649765,49,22.743208
-0.165291,49,22.849965
-1.084644,45,22.929681
-0.918834,33,22.982146
0.031177,37,23.068043
0.547462,40,23.13351
1.29123,53,23.228263
-0.279114,44,23.326175
0.001158,38,23.389483
1.081535,47,23.469428
-0.503021,38,23.560571
0.560136,48,23.641514
0.502658,37,23.703453
0.001574,44,23.800488
-0.096265,53,23.887831
0.298271,30,23.937193
0.121153,47,24.04147
-0.315636,72,24.159353
0.465807,40,24.248868
0.285766,36,24.310398
1.907098,50,24.393934
-0.263779,40,24.461017
0.994438,47,24.563407
-0.534688,42,24.63367
0.405868,39,24.699485
0.891158,37,24.786788
0.612657,47,24.865368
0.209977,39,24.930489
0.416973,30,25.005325
0.305786,39,25.070588
3.746056,138,25.337008
1.072503,50,25.419964
-0.125594,37,25.510043
0.392903,18,25.541063
0.989335,45,25.618161
0.810698,34,25.698642
1.907501,52,25.790189
0.19896,36,25.851355
-0.000404,62,25.980719
0.927394,39,26.045844
1.909504,49,26.127724
-2.168087,47,26.231316
0.204052,24,26.270661
-0.007502,34,26.326442
-0.068594,44,26.420957
0.399894,56,26.515782
-0.298185,20,26.549468
-0.094333,22,26.586516
1.264362,40,26.679085
-1.487341,39,26.746785
0.064908,48,26.828901
0.438165,35,26.913974
2.35801,55,27.013421
0.477194,38,27.078302
0.522211,37,27.16764
-0.040223,33,27.223192
0.792724,25,27.264716
-0.744578,32,27.318004
-0.155293,38,27.404861
0.19069,57,27.499815
0.923417,37,27.560742
-0.452453,34,27.639549
-1.166753,46,27.719927
-0.177324,28,27.768583
0.423525,23,27.808124
-0.472427,29,27.884341
-0.428856,32,27.936736
0.644783,29,27.983675
0.919205,51,28.06702
0.364609,30,28.143764
0.251575,43,28.21643
0.157178,26,28.260842
1.56497,63,28.395206
0.456263,47,28.474716
0.580765,33,28.53111
0.804251,32,28.612602
1.072724,47,28.694702
0.378251,46,28.773043
2.449467,95,28.968576
0.049389,35,29.030054
0.623609,35,29.113173
0.882098,39,29.179283
1.299287,49,29.263382
0.992176,39,29.355503
-0.988403,37,29.418912
-0.2642,43,29.490667
0.242019,29,29.539536
0.811046,36,29.624645
-0.066678,38,29.688323
0.312605,29,29.736598
1.442222,54,29.851352
0.807586,33,29.907046
0.056245,25,29.948809
1.876425,47,30.029279
0.079977,42,30.12671
0.431216,33,30.18203
0.60877,40,30.249154
-0.629083,35,30.332395
0.490994,70,30.450689
0.654565,35,30.509488
0.632814,24,30.576078
-0.427955,39,30.641729
-0.441364,31,30.693853
-0.909057,57,30.821358
0.022366,16,30.848148
0.771466,34,30.904692
0.072294,19,30.937067
0.11499,16,30.964405
0.511531,35,31.051865
-0.153412,84,31.194944
0.840982,36,31.279805
0.276924,33,31.336529
0.314998,27,31.381247
1.605924,40,31.447952
-0.707225,66,31.582268
-1.065493,63,31.685913
1.158228,37,31.772619
0.34301,32,31.825488
0.1503,32,31.878792
0.44786,52,31.987493
1.108889,33,32.045346
0.777318,39,32.111726
0.84167,50,32.19698
2.151262,47,32.300429
0.354295,31,32.352876
0.317357,41,32.422286
0.655867,37,32.50849
0.473092,32,32.564165
-0.150203,33,32.621861
3.825197,66,32.764694
2.131268,53,32.854341
1.272907,47,32.933445
1.837019,42,33.032256
-0.144163,29,33.080398
1.880139,54,33.170598
0.843734,41,33.266269
0.952351,38,33.331214
0.234282,36,33.393506
0.482747,42,33.4884
0.804165,33,33.542797
-0.074536,38,33.605322
1.299355,42,33.700595
-0.108263,40,33.767557
0.07316,105,33.971735
1.429397,40,34.042032
-0.720959,48,34.123343
0.367597,32,34.201762
1.223339,44,34.273072
0.261484,33,34.326478
1.359107,36,34.411926
3.791196,64,34.519987
0.036623,32,34.582597
1.88562,49,34.696569
0.943116,36,34.757865
1.089691,30,34.80925
4.696797,131,35.060138
0.784845,35,35.119687
-0.642686,54,35.238317
0.910296,35,35.298029
0.197786,26,35.34131
0.24254,42,35.438456
0.889587,43,35.509039
0.702105,43,35.579573
1.590385,33,35.657865
0.452985,17,35.686688
0.69781,30,35.737506
0.831911,32,35.790401
1.092119,39,35.880293
1.997915,46,35.95969
0.09552,14,35.983684
2.452099,39,36.050375
0.256489,37,36.137958
0.186089,16,36.166099
0.440353,48,36.24947
1.21493,37,36.31322
0.602292,52,36.425204
0.358978,44,36.506456
0.076289,46,36.605134
1.476442,33,36.663355
0.197076,31,36.714439
1.861954,42,36.78274
0.619214,33,36.86044
4.671935,74,36.982104
0.838603,56,37.105809
-1.252754,94,37.262015
1.17964,45,37.36132
0.656464,46,37.436212
0.468118,34,37.492199
0.938533,41,37.584582
0.491923,67,37.696366
1.703772,40,37.762618
